COUNTRY,Player_Count,L
France,56,https://galkevich32.github.io/global-game/country_lists/france.html
Canada,53,https://galkevich32.github.io/global-game/country_lists/canada.html
Australia,34,https://galkevich32.github.io/global-game/country_lists/australia.html
Serbia,31,https://galkevich32.github.io/global-game/country_lists/serbia.html
Croatia,20,https://galkevich32.github.io/global-game/country_lists/croatia.html
Brazil,17,https://galkevich32.github.io/global-game/country_lists/brazil.html
Germany,16,https://galkevich32.github.io/global-game/country_lists/germany.html
Spain,16,https://galkevich32.github.io/global-game/country_lists/spain.html
Argentina,15,https://galkevich32.github.io/global-game/country_lists/argentina.html
Lithuania,15,https://galkevich32.github.io/global-game/country_lists/lithuania.html
Senegal,14,https://galkevich32.github.io/global-game/country_lists/senegal.html
Turkey,14,https://galkevich32.github.io/global-game/country_lists/turkey.html
Nigeria,13,https://galkevich32.github.io/global-game/country_lists/nigeria.html
Greece,12,https://galkevich32.github.io/global-game/country_lists/greece.html
Ukraine,11,https://galkevich32.github.io/global-game/country_lists/ukraine.html
Russia,11,https://galkevich32.github.io/global-game/country_lists/russia.html
Slovenia,11,https://galkevich32.github.io/global-game/country_lists/slovenia.html
Dominican Republic,8,https://galkevich32.github.io/global-game/country_lists/dominican_republic.html
Italy,8,https://galkevich32.github.io/global-game/country_lists/italy.html
United Kingdom,8,https://galkevich32.github.io/global-game/country_lists/united_kingdom.html
China,8,https://galkevich32.github.io/global-game/country_lists/china.html
Puerto Rico,7,https://galkevich32.github.io/global-game/country_lists/puerto_rico.html
Netherlands,7,https://galkevich32.github.io/global-game/country_lists/netherlands.html
South Sudan,6,https://galkevich32.github.io/global-game/country_lists/south_sudan.html
Bosnia and Herzegovina,6,https://galkevich32.github.io/global-game/country_lists/bosnia_and_herzegovina.html
Cameroon,6,https://galkevich32.github.io/global-game/country_lists/cameroon.html
Latvia,6,https://galkevich32.github.io/global-game/country_lists/latvia.html
Montenegro,6,https://galkevich32.github.io/global-game/country_lists/montenegro.html
Georgia,6,https://galkevich32.github.io/global-game/country_lists/georgia.html
Jamaica,5,https://galkevich32.github.io/global-game/country_lists/jamaica.html
DRC,5,https://galkevich32.github.io/global-game/country_lists/drc.html
Bahamas,4,https://galkevich32.github.io/global-game/country_lists/bahamas.html
Sweden,4,https://galkevich32.github.io/global-game/country_lists/sweden.html
Poland,4,https://galkevich32.github.io/global-game/country_lists/poland.html
Switzerland,4,https://galkevich32.github.io/global-game/country_lists/switzerland.html
Mexico,4,https://galkevich32.github.io/global-game/country_lists/mexico.html
Israel,4,https://galkevich32.github.io/global-game/country_lists/israel.html
Mali,4,https://galkevich32.github.io/global-game/country_lists/mali.html
Czech Republic,4,https://galkevich32.github.io/global-game/country_lists/czech_republic.html
Venezuela,3,https://galkevich32.github.io/global-game/country_lists/venezuela.html
Finland,3,https://galkevich32.github.io/global-game/country_lists/finland.html
Japan,3,https://galkevich32.github.io/global-game/country_lists/japan.html
Haiti,3,https://galkevich32.github.io/global-game/country_lists/haiti.html
Belgium,3,https://galkevich32.github.io/global-game/country_lists/belgium.html
Ghana,2,https://galkevich32.github.io/global-game/country_lists/ghana.html
New Zealand,2,https://galkevich32.github.io/global-game/country_lists/new_zealand.html
US Virgin Islands,2,https://galkevich32.github.io/global-game/country_lists/us_virgin_islands.html
Guinea,2,https://galkevich32.github.io/global-game/country_lists/guinea.html
Estonia,2,https://galkevich32.github.io/global-game/country_lists/estonia.html
Gabon,2,https://galkevich32.github.io/global-game/country_lists/gabon.html
Congo,2,https://galkevich32.github.io/global-game/country_lists/congo.html
Antigua and Barbuda,1,https://galkevich32.github.io/global-game/country_lists/antigua_and_barbuda.html
Angola,1,https://galkevich32.github.io/global-game/country_lists/angola.html
Austria,1,https://galkevich32.github.io/global-game/country_lists/austria.html
British Virgin Islands,1,https://galkevich32.github.io/global-game/country_lists/british_virgin_islands.html
Bulgaria,1,https://galkevich32.github.io/global-game/country_lists/bulgaria.html
Cabo Verde,1,https://galkevich32.github.io/global-game/country_lists/cabo_verde.html
Belize,1,https://galkevich32.github.io/global-game/country_lists/belize.html
Iran,1,https://galkevich32.github.io/global-game/country_lists/iran.html
Denmark,1,https://galkevich32.github.io/global-game/country_lists/denmark.html
Cuba,1,https://galkevich32.github.io/global-game/country_lists/cuba.html
Colombia,1,https://galkevich32.github.io/global-game/country_lists/colombia.html
Egypt,1,https://galkevich32.github.io/global-game/country_lists/egypt.html
Macedonia,1,https://galkevich32.github.io/global-game/country_lists/macedonia.html
Lebanon,1,https://galkevich32.github.io/global-game/country_lists/lebanon.html
Ireland,1,https://galkevich32.github.io/global-game/country_lists/ireland.html
Saint Lucia,1,https://galkevich32.github.io/global-game/country_lists/saint_lucia.html
Panama,1,https://galkevich32.github.io/global-game/country_lists/panama.html
Nicaragua,1,https://galkevich32.github.io/global-game/country_lists/nicaragua.html
Romania,1,https://galkevich32.github.io/global-game/country_lists/romania.html
Portugal,1,https://galkevich32.github.io/global-game/country_lists/portugal.html
Scotland,1,https://galkevich32.github.io/global-game/country_lists/scotland.html
Sudan,1,https://galkevich32.github.io/global-game/country_lists/sudan.html
South Korea,1,https://galkevich32.github.io/global-game/country_lists/south_korea.html
St. Vincent & Grenadines,1,https://galkevich32.github.io/global-game/country_lists/st._vincent_and_grenadines.html
Tanzania,1,https://galkevich32.github.io/global-game/country_lists/tanzania.html
Tunisia,1,https://galkevich32.github.io/global-game/country_lists/tunisia.html
Trinidad and Tobago,1,https://galkevich32.github.io/global-game/country_lists/trinidad_and_tobago.html
Uruguay,1,https://galkevich32.github.io/global-game/country_lists/uruguay.html
