Season (sort),Season,Player,Team,Age,Height,Weight,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,Continent
2024,2024-25,Bruno Fernando,TOR,26,6-9,240.0,Maryland,Angola,2019,2,34,Africa
2023,2023-24,Bruno Fernando,ATL,25,6-9,240.0,Maryland,Angola,2019,2,34,Africa
2022,2022-23,Bruno Fernando,ATL,24,6-10,240.0,Maryland,Angola,2019,2,34,Africa
2021,2021-22,Bruno Fernando,HOU,23,6-9,240.0,Maryland,Angola,2019,2,34,Africa
2020,2020-21,Bruno Fernando,ATL,22,6-9,240.0,Maryland,Angola,2019,2,34,Africa
2019,2019-20,Bruno Fernando,ATL,21,6-9,240.0,Maryland,Angola,2019,2,34,Africa
2021,2021-22,Norvel Pelle,UTA,29,6-10,231.0,Iona,Antigua and Barbuda,Undrafted,Undrafted,Undrafted,North America
2020,2020-21,Norvel Pelle,NYK,28,6-10,231.0,Iona,Antigua and Barbuda,Undrafted,Undrafted,Undrafted,North America
2019,2019-20,Norvel Pelle,PHI,27,6-10,231.0,Iona,Antigua and Barbuda,Undrafted,Undrafted,Undrafted,North America
2022,2022-23,Facundo Campazzo,DAL,32,5-10,195.0,,Argentina,Undrafted,Undrafted,Undrafted,South America
2022,2022-23,Leandro Bolmaro,UTA,22,6-6,200.0,,Argentina,2020,1,23,South America
2021,2021-22,Facundo Campazzo,DEN,31,5-10,195.0,,Argentina,Undrafted,Undrafted,Undrafted,South America
2021,2021-22,Gabriel Deck,OKC,27,6-6,231.0,,Argentina,Undrafted,Undrafted,Undrafted,South America
2021,2021-22,Leandro Bolmaro,MIN,21,6-6,200.0,,Argentina,2020,1,23,South America
2020,2020-21,Facundo Campazzo,DEN,30,5-10,195.0,,Argentina,Undrafted,Undrafted,Undrafted,South America
2020,2020-21,Gabriel Deck,OKC,26,6-6,231.0,,Argentina,Undrafted,Undrafted,Undrafted,South America
2017,2017-18,Manu Ginobili,SAS,40,6-6,205.0,,Argentina,1999,2,57,South America
